Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-03-08,6.55e-05,6.55e-05,6.37e-05,6.46e-05,176408.92,1646783999999000000,11.37749765,2341,75807.24,4.90126503
2022-03-09,6.48e-05,6.55e-05,6.26e-05,6.3e-05,284426.14,1646870399999000000,18.20716027,5788,133466.98,8.56575288
2022-03-10,6.32e-05,6.5e-05,6.2e-05,6.36e-05,155016.98,1646956799999000000,9.90677548,4348,91509.4,5.86973142
2022-03-11,6.36e-05,6.45e-05,6.13e-05,6.16e-05,171076.12,1647043199999000000,10.79878594,4803,46760.0,2.95377502
2022-03-12,6.16e-05,6.17e-05,6.02e-05,6.07e-05,158650.18,1647129599999000000,9.66472704,3647,99598.45,6.07043079
2022-03-13,6.08e-05,6.14e-05,5.92e-05,6e-05,291504.81,1647215999999000000,17.51205039,1980,189660.18,11.38782546
2022-03-14,5.97e-05,6e-05,5.77e-05,5.85e-05,99926.11,1647302399999000000,5.86288838,1207,52649.26,3.08932653
2022-03-15,5.86e-05,5.98e-05,5.85e-05,5.93e-05,118635.35,1647388799999000000,7.02415533,1102,76936.42,4.56412421
2022-03-16,5.93e-05,6.15e-05,5.7e-05,6.08e-05,430445.19,1647475199999000000,25.23034089,3169,299659.21,17.54125869
2022-03-17,6.08e-05,6.28e-05,5.9e-05,5.91e-05,119955.04,1647561599999000000,7.31018583,1730,52236.47,3.19709064
2022-03-18,5.93e-05,6.17e-05,5.81e-05,6.12e-05,276559.17,1647647999999000000,16.5785478,3992,138480.63,8.30680135
2022-03-19,6.12e-05,7.4e-05,6.08e-05,6.43e-05,532606.19,1647734399999000000,35.28918538,5653,299100.81,19.85525208
2022-03-20,6.41e-05,6.61e-05,6.13e-05,6.32e-05,151977.91,1647820799999000000,9.62953465,2472,71444.11,4.53941573
2022-03-21,6.33e-05,6.84e-05,6.25e-05,6.48e-05,198537.91,1647907199999000000,12.91164871,2671,119729.86,7.81462564
2022-03-22,6.49e-05,6.78e-05,6.33e-05,6.64e-05,268807.24,1647993599999000000,17.65916351,3134,134410.12,8.85359738
2022-03-23,6.65e-05,6.76e-05,6.45e-05,6.55e-05,195879.28,1648079999999000000,12.90982909,1957,78571.86,5.20104375
2022-03-24,6.56e-05,6.86e-05,6.37e-05,6.46e-05,186693.99,1648166399999000000,12.2650204,2705,69625.3,4.59596974
2022-03-25,6.47e-05,6.49e-05,6.17e-05,6.2e-05,159439.8,1648252799999000000,10.12387502,2099,63239.18,4.01863098
2022-03-26,6.2e-05,6.2e-05,5.97e-05,6.08e-05,182025.19,1648339199999000000,11.03258651,1838,58590.31,3.55193872
2022-03-27,6.09e-05,6.11e-05,5.66e-05,5.98e-05,229483.23,1648425599999000000,13.59666723,2663,84379.47,5.01383137
